date,new_diagnoses,new_deaths
2020/2/1,0,0
2020/2/2,0,0
2020/2/3,0,0
2020/2/4,0,0
2020/2/5,0,0
2020/2/6,0,0
2020/2/7,0,0
2020/2/8,0,0
2020/2/9,0,0
2020/2/10,0,0
2020/2/11,0,0
2020/2/12,0,0
2020/2/13,0,0
2020/2/14,0,0
2020/2/15,0,0
2020/2/16,0,0
2020/2/17,0,0
2020/2/18,0,0
2020/2/19,0,0
2020/2/20,0,0
2020/2/21,0,0
2020/2/22,0,0
2020/2/23,0,0
2020/2/24,0,0
2020/2/25,0,0
2020/2/26,0,0
2020/2/27,1,0
2020/2/28,0,0
2020/2/29,1,0
2020/3/1,1,0
2020/3/2,1,0
2020/3/3,1,0
2020/3/4,3,0
2020/3/5,2,0
2020/3/6,10,0
2020/3/7,3,0
2020/3/8,8,0
2020/3/9,7,0
2020/3/10,75,0
2020/3/11,151,0
2020/3/12,252,0
2020/3/13,160,0
2020/3/14,128,0
2020/3/15,23,0
2020/3/16,48,1
2020/3/17,57,0
2020/3/18,92,3
2020/3/19,91,0
2020/3/20,36,2
2020/3/21,104,3
2020/3/22,71,4
2020/3/23,69,0
2020/3/24,65,11
2020/3/25,131,8
2020/3/26,133,2
2020/3/27,153,7
2020/3/28,169,11
2020/3/29,155,13
2020/3/30,194,7
2020/3/31,182,5
2020/4/1,283,13
2020/4/2,247,14
2020/4/3,279,19
2020/4/4,371,16
2020/4/5,320,22
2020/4/6,292,18
2020/4/7,312,8
2020/4/8,390,16
2020/4/9,331,15
2020/4/10,233,19
2020/4/11,184,10
2020/4/12,177,13
2020/4/13,178,13
2020/4/14,144,12
2020/4/15,193,14
2020/4/16,170,10
2020/4/17,198,12
2020/4/18,194,15
2020/4/19,169,10
2020/4/20,142,9
2020/4/21,131,9
2020/4/22,180,6
2020/4/23,217,14
2020/4/24,161,10
2020/4/25,137,9
2020/4/26,235,15
2020/4/27,130,4
2020/4/28,123,5
2020/4/29,153,7
2020/4/30,157,9
2020/5/1,150,9
2020/5/2,153,10
2020/5/3,96,11
2020/5/4,116,8
2020/5/5,147,9
2020/5/6,151,7
2020/5/7,162,3
2020/5/8,100,6
2020/5/9,135,6
2020/5/10,101,4
2020/5/11,110,3
2020/5/12,84,5
2020/5/13,78,4
2020/5/14,76,6
2020/5/15,46,4
2020/5/16,78,0
2020/5/17,67,5
2020/5/18,69,4
2020/5/19,41,1
2020/5/20,76,3
2020/5/21,73,3
2020/5/22,65,7
2020/5/23,48,0
2020/5/24,59,0
2020/5/25,71,1
2020/5/26,27,1
2020/5/27,41,0
2020/5/28,52,2
2020/5/29,32,3
2020/5/30,81,0
2020/5/31,40,3
2020/6/1,36,3
2020/6/2,30,2
2020/6/3,35,4
2020/6/4,37,0
2020/6/5,40,2
2020/6/6,64,4
2020/6/7,49,1
2020/6/8,24,2
2020/6/9,14,4
2020/6/10,39,0
2020/6/11,15,0
2020/6/12,19,0
2020/6/13,64,1
2020/6/14,40,3
2020/6/15,54,0
2020/6/16,24,1
2020/6/17,33,0
2020/6/18,44,0
2020/6/19,50,2
2020/6/20,47,0
2020/6/21,0,0
2020/6/22,0,0
2020/6/23,136,2
2020/6/24,34,1
2020/6/25,54,0
2020/6/26,21,0
2020/6/27,39,1
2020/6/28,0,0
2020/6/29,0,0
2020/6/30,76,1
2020/7/1,17,0
2020/7/2,26,1
2020/7/3,21,0
2020/7/4,17,0
2020/7/5,0,0
2020/7/6,0,0
2020/7/7,46,1
2020/7/8,10,2
2020/7/9,12,0
2020/7/10,16,0
2020/7/11,30,0
2020/7/12,0,0
2020/7/13,0,0
2020/7/14,91,1
2020/7/15,24,0
2020/7/16,31,0
2020/7/17,32,0
2020/7/18,49,1
2020/7/19,0,0
2020/7/20,0,0
2020/7/21,89,0
2020/7/22,40,0
2020/7/23,48,0
2020/7/24,40,1
2020/7/25,48,1
2020/7/26,0,0
2020/7/27,0,0
2020/7/28,109,0
2020/7/29,30,0
2020/7/30,57,1
2020/7/31,91,1
2020/8/1,64,0
2020/8/2,0,0
2020/8/3,0,0
2020/8/4,207,1
2020/8/5,77,0
2020/8/6,112,0
2020/8/7,121,1
2020/8/8,136,0
2020/8/9,0,0
2020/8/10,0,0
2020/8/11,373,3
2020/8/12,144,1
2020/8/13,111,0
2020/8/14,144,0
2020/8/15,165,0
2020/8/16,104,0
2020/8/17,134,0
2020/8/18,123,0
2020/8/19,115,0
2020/8/20,85,0
2020/8/21,116,0
2020/8/22,71,0
2020/8/23,0,0
2020/8/24,0,0
2020/8/25,270,2
2020/8/26,83,0
2020/8/27,57,0
2020/8/28,90,1
2020/8/29,73,0
2020/8/30,0,0
2020/8/31,0,0
2020/9/1,285,0
2020/9/2,99,1
2020/9/3,111,1
2020/9/4,179,0
2020/9/5,173,1
2020/9/6,0,0
2020/9/7,0,0
2020/9/8,566,1
2020/9/9,243,0
2020/9/10,251,0
2020/9/11,317,1
2020/9/12,292,0
2020/9/13,0,0
2020/9/14,0,0
2020/9/15,584,4
2020/9/16,329,0
2020/9/17,442,0
2020/9/18,822,2
2020/9/19,454,0
2020/9/20,0,0
2020/9/21,0,0
