,date,new_diagnoses,new_tests,cum_tested,new_deaths
1,2020/3/1,1,49,357,NA
2,2020/3/2,4,80,437,NA
3,2020/3/3,5,63,500,NA
4,2020/3/4,3,89,589,NA
5,2020/3/5,10,109,698,NA
6,2020/3/6,2,127,825,NA
7,2020/3/7,9,108,933,NA
8,2020/3/8,48,229,1162,NA
9,2020/3/9,210,578,1740,NA
10,2020/3/10,256,806,2546,NA
11,2020/3/11,207,883,3429,1
12,2020/3/12,44,676,4105,0
13,2020/3/13,33,710,4815,0
14,2020/3/14,37,583,5398,1
15,2020/3/15,45,723,6121,2
16,2020/3/16,74,1016,7137,1
17,2020/3/17,76,948,8085,1
18,2020/3/18,83,1226,9311,4
19,2020/3/19,107,1848,11159,5
20,2020/3/20,103,1179,12338,4
21,2020/3/21,48,602,12940,3
22,2020/3/22,62,533,13473,3
23,2020/3/23,132,1125,14598,6
24,2020/3/24,139,1123,15721,6
25,2020/3/25,151,1372,17093,6
26,2020/3/26,171,1611,18704,12
27,2020/3/27,217,2110,20814,12
28,2020/3/28,200,1383,22197,9
29,2020/3/29,128,1301,23498,8
30,2020/3/30,313,3218,26716,11
31,2020/3/31,255,3210,29926,15
32,2020/4/1,282,3557,33483,22
33,2020/4/2,382,5752,39235,18
34,2020/4/3,473,6617,45852,20
35,2020/4/4,312,3697,49549,15
36,2020/4/5,158,2213,51762,12
37,2020/4/6,424,6569,58331,17
38,2020/4/7,347,6384,64715,12
39,2020/4/8,301,5632,70347,15
40,2020/4/9,140,2558,72905,13
41,2020/4/10,142,2326,75231,16
42,2020/4/11,140,2229,77460,11
43,2020/4/12,157,2143,79603,11
44,2020/4/13,156,2149,81752,16
45,2020/4/14,258,6219,87971,12
46,2020/4/15,199,5634,93605,10
47,2020/4/16,178,5332,98937,12
48,2020/4/17,168,4803,103740,9
49,2020/4/18,106,2302,106042,10
50,2020/4/19,114,1886,107928,6
51,2020/4/20,215,6670,114598,7
52,2020/4/21,202,9775,124373,12
53,2020/4/22,229,11605,135978,14
54,2020/4/23,232,12486,148464,10
55,2020/4/24,165,14819,163283,6
56,2020/4/25,136,12432,175715,5
57,2020/4/26,122,10327,186042,5
58,2020/4/27,219,17351,203393,9
59,2020/4/28,136,16267,219660,10
60,2020/4/29,140,16077,235737,9
61,2020/4/30,150,15951,251688,9
62,2020/5/1,153,14445,266133,11
63,2020/5/2,117,11146,277279,8
64,2020/5/3,78,8999,286278,9
65,2020/5/4,123,17780,304058,7
66,2020/5/5,123,15795,319853,3
67,2020/5/6,107,14329,334182,6
68,2020/5/7,124,14371,348553,6
69,2020/5/8,69,8373,356926,4
70,2020/5/9,65,8246,365172,3
71,2020/5/10,60,6687,371859,5
72,2020/5/11,79,16448,388307,4
73,2020/5/12,58,14783,403090,7
74,2020/5/13,71,14759,417849,5
75,2020/5/14,64,12995,430844,0
76,2020/5/15,91,12670,443514,6
77,2020/5/16,35,7698,451212,3
78,2020/5/17,50,7070,458282,3
79,2020/5/18,81,15281,473563,3
80,2020/5/19,65,14983,488546,2
81,2020/5/20,72,14461,503007,5
82,2020/5/21,31,8472,511479,0
83,2020/5/22,73,12305,523784,1
84,2020/5/23,36,8782,532566,1
85,2020/5/24,36,8666,541232,1
86,2020/5/25,52,18296,559528,0
87,2020/5/26,63,15978,575506,3
88,2020/5/27,52,14787,590293,1
89,2020/5/28,39,13164,603457,0
90,2020/5/29,46,11781,615238,1
91,2020/5/30,33,7178,622416,4
92,2020/5/31,22,7636,630052,2
93,2020/6/1,36,8723,638775,3
94,2020/6/2,56,15535,654310,1
95,2020/6/3,54,13459,667769,1
96,2020/6/4,42,11866,679635,4
97,2020/6/5,35,9656,689291,2
98,2020/6/6,15,7971,697262,3
99,2020/6/7,14,7745,705007,2
100,2020/6/8,46,16859,721866,0
101,2020/6/9,28,15649,737515,0
102,2020/6/10,40,14960,752475,0
103,2020/6/11,48,14548,767023,1
104,2020/6/12,60,14870,781893,3
105,2020/6/13,27,10009,791902,0
106,2020/6/14,22,9060,800962,1
107,2020/6/15,40,17714,818676,0
108,2020/6/16,46,18202,836878,1
109,2020/6/17,76,19225,856103,1
110,2020/6/18,46,17515,873618,1
111,2020/6/19,44,16991,890609,1
112,2020/6/20,38,12098,902707,1
113,2020/6/21,33,11416,914123,0
114,2020/6/22,46,21457,935580,0
115,2020/6/23,19,20913,956493,1
116,2020/6/24,45,20079,976572,0
117,2020/6/25,32,16830,993402,1
118,2020/6/26,23,15838,1009240,0
119,2020/6/27,19,9483,1018723,0
120,2020/6/28,11,9461,1028184,1
121,2020/6/29,30,18718,1046902,0
122,2020/6/30,24,17884,1064786,0
123,2020/7/1,12,17615,1082401,0
124,2020/7/2,15,15361,1097762,0
125,2020/7/3,19,14321,1112083,0
126,2020/7/4,13,9624,1121707,1
127,2020/7/5,11,9737,1131444,0
128,2020/7/6,9,17841,1149285,2
129,2020/7/7,13,16513,1165798,0
130,2020/7/8,26,15903,1181701,0
131,2020/7/9,41,14303,1196004,0
132,2020/7/10,34,14186,1210190,1
133,2020/7/11,24,9651,1219841,0
134,2020/7/12,22,9133,1228974,0
135,2020/7/13,33,18280,1247254,0
136,2020/7/14,34,16717,1263971,0
137,2020/7/15,42,16345,1280316,0
138,2020/7/16,52,15182,1295498,0
139,2020/7/17,32,14271,1309769,1
140,2020/7/18,43,10669,1320438,0
141,2020/7/19,28,10936,1331374,0
142,2020/7/20,32,18211,1349585,0
143,2020/7/21,37,16692,1366277,0
144,2020/7/22,35,16637,1382914,2
145,2020/7/23,54,15793,1398707,0
146,2020/7/24,37,16108,1414815,0
147,2020/7/25,27,11731,1426546,0
148,2020/7/26,24,12813,1439359,0
149,2020/7/27,64,20720,1460079,0
150,2020/7/28,78,20376,1480455,1
151,2020/7/29,65,20219,1500674,1
152,2020/7/30,84,20547,1521221,0
153,2020/7/31,58,19917,1541138,1
154,2020/8/1,64,14305,1555443,0
155,2020/8/2,78,15714,1571157,0
156,2020/8/3,117,23844,1595001,0
157,2020/8/4,122,24940,1619941,0
158,2020/8/5,118,24878,1644819,1
159,2020/8/6,174,26855,1671674,0
160,2020/8/7,143,27074,1698748,0
161,2020/8/8,90,20789,1719537,1
162,2020/8/9,130,20939,1740476,2
163,2020/8/10,155,30948,1771424,1
164,2020/8/11,136,33524,1804948,0
165,2020/8/12,161,34727,1839675,0
166,2020/8/13,116,33775,1873450,0
167,2020/8/14,112,32564,1906014,0
168,2020/8/15,127,25240,1931254,0
169,2020/8/16,90,25604,1956858,0
170,2020/8/17,96,35590,1992448,0
171,2020/8/18,114,37885,2030333,0
172,2020/8/19,87,39065,2069398,0
173,2020/8/20,87,38013,2107411,0
174,2020/8/21,87,35704,2143115,1
175,2020/8/22,89,28635,2171750,1
176,2020/8/23,75,27561,2199311,0
177,2020/8/24,75,39361,2238672,0
178,2020/8/25,81,39750,2278422,1
179,2020/8/26,80,40065,2318487,0
180,2020/8/27,71,38679,2357166,0
181,2020/8/28,109,35441,2392607,0
182,2020/8/29,89,25187,2417794,0
183,2020/8/30,104,25244,2443038,0
184,2020/8/31,121,39627,2482665,2
185,2020/9/1,201,39214,2521879,0
186,2020/9/2,159,40022,2561901,0
187,2020/9/3,194,38809,2600710,1
188,2020/9/4,205,40139,2640849,0
189,2020/9/5,198,28560,2669409,0
190,2020/9/6,224,29782,2699191,1
191,2020/9/7,297,47810,2747001,0
192,2020/9/8,329,48328,2795329,0
193,2020/9/9,293,48823,2844152,1
194,2020/9/10,371,52153,2896305,0
195,2020/9/11,348,50573,2946878,1
196,2020/9/12,302,41343,2988221,1
197,2020/9/13,296,41894,3030115,2
198,2020/9/14,382,55732,3085847,0
199,2020/9/15,439,56154,3142001,1
200,2020/9/16,559,56677,3198678,1
201,2020/9/17,516,52007,3250685,0
202,2020/9/18,477,51494,3302179,0
203,2020/9/19,422,40051,3342230,3
204,2020/9/20,411,40966,3383196,3
205,2020/9/21,536,54139,3437335,1
206,2020/9/22,591,56616,3493951,2
207,2020/9/23,651,55509,3549460,1
208,2020/9/24,607,53890,3603350,2
209,2020/9/25,488,51537,3654887,1
210,2020/9/26,394,39585,3694472,1
211,2020/9/27,357,39591,3734063,0
212,2020/9/28,484,53935,3787998,1
213,2020/9/29,451,50700,3838698,1
214,2020/9/30,438,47686,3886384,0
215,2020/10/1,433,44468,3930852,2
216,2020/10/2,368,43112,3973964,2
217,2020/10/3,340,33603,4007567,3
218,2020/10/4,313,33949,4041516,3
219,2020/10/5,433,52385,4093901,2
220,2020/10/6,431,53566,4147467,0
221,2020/10/7,452,50050,4197517,1
222,2020/10/8,420,47769,4245286,2
223,2020/10/9,413,39631,4284917,1
224,2020/10/10,286,27187,4312104,3
225,2020/10/11,255,26763,4338867,2
226,2020/10/12,462,40447,4379314,3
227,2020/10/13,434,36251,4415565,1
228,2020/10/14,480,35860,4451425,1
229,2020/10/15,455,35236,4486661,0
230,2020/10/16,478,34725,4521386,2
231,2020/10/17,433,27033,4548419,5
232,2020/10/18,459,30261,4578680,3
233,2020/10/19,702,48199,4626879,1
234,2020/10/20,790,44510,4671389,3
235,2020/10/21,861,47452,4718841,4
236,2020/10/22,879,49500,4768341,4
237,2020/10/23,864,50417,4818758,5
238,2020/10/24,823,45796,4864554,3
239,2020/10/25,926,51931,4916485,3
240,2020/10/26,1015,65931,4982416,3
241,2020/10/27,1238,73085,5055501,2
242,2020/10/28,1212,70103,5125604,3
243,2020/10/29,1016,67695,5193299,2
244,2020/10/30,1077,63734,5257033,1
245,2020/10/31,982,51199,5308232,2
246,2020/11/1,960,51737,5359969,1
247,2020/11/2,1272,69878,5429847,4
248,2020/11/3,1261,73574,5503421,3
249,2020/11/4,1244,71292,5574713,5
250,2020/11/5,1033,71103,5645816,3
251,2020/11/6,962,69153,5714969,4
252,2020/11/7,845,58978,5773947,1
253,2020/11/8,758,58170,5832117,4
254,2020/11/9,1052,80972,5913089,4
255,2020/11/10,1075,80554,5993643,2
256,2020/11/11,1106,76010,6069653,1
257,2020/11/12,1065,74085,6143738,1
258,2020/11/13,1155,71852,6215590,1
259,2020/11/14,1058,56103,6271693,5
260,2020/11/15,1005,55259,6326952,3
261,2020/11/16,1258,78906,6405858,4
262,2020/11/17,1335,82439,6488297,3
263,2020/11/18,1341,79763,6568060,5
264,2020/11/19,1231,75134,6643194,3
265,2020/11/20,1247,72367,6715561,4
266,2020/11/21,1005,57716,6773277,5
267,2020/11/22,1015,60991,6834268,6
268,2020/11/23,1184,77029,6911297,3
269,2020/11/24,1331,83406,6994703,6
270,2020/11/25,1309,79881,7074584,8
271,2020/11/26,1266,79998,7154582,4
272,2020/11/27,1314,71832,7226414,8
273,2020/11/28,1160,56524,7282938,6
274,2020/11/29,1177,58026,7340964,11
275,2020/11/30,1535,80150,7421114,7
276,2020/12/1,1713,82241,7503355,10
277,2020/12/2,1876,84348,7587703,6
278,2020/12/3,1916,88098,7675801,11
279,2020/12/4,2022,81497,7757298,7
280,2020/12/5,1719,63278,7820576,10
281,2020/12/6,1973,69056,7889632,9
282,2020/12/7,2743,97716,7987348,6
283,2020/12/8,3109,109834,8097182,7
284,2020/12/9,3174,108970,8206152,10
285,2020/12/10,3268,108852,8315004,7
286,2020/12/11,3266,101455,8416459,7
287,2020/12/12,3077,85320,8501779,8
288,2020/12/13,3167,86697,8588476,10
289,2020/12/14,3923,121375,8709851,11
290,2020/12/15,4255,133500,8843351,16
291,2020/12/16,4349,135488,8978839,14
292,2020/12/17,3578,132762,9111601,15
293,2020/12/18,3116,129168,9240769,11
294,2020/12/19,2750,114829,9355598,20
295,2020/12/20,2454,120775,9476373,19
296,2020/12/21,3067,166332,9642705,19
297,2020/12/22,2842,161679,9804384,21
298,2020/12/23,3046,118972,9923356,19
299,2020/12/24,1480,38388,9961744,22
300,2020/12/25,1603,39173,10000917,21
301,2020/12/26,2694,62671,10063588,26
302,2020/12/27,2196,67048,10130636,29
303,2020/12/28,3081,111781,10242417,25
304,2020/12/29,2495,117521,10359938,32
305,2020/12/30,2780,110785,10470723,28
306,2020/12/31,1229,34190,10504913,33
307,2021/1/1,1214,31901,10536814,21
308,2021/1/2,2058,73170,10609984,33
309,2021/1/3,1676,65164,10675148,28
310,2021/1/4,2472,105792,10780940,27
311,2021/1/5,1935,104756,10885696,21
312,2021/1/6,1659,96473,10982169,36
313,2021/1/7,1582,86057,11068226,29
314,2021/1/8,1438,76115,11144341,26
315,2021/1/9,1203,53350,11197691,23
316,2021/1/10,998,48649,11246340,36
317,2021/1/11,1353,81928,11328268,25
318,2021/1/12,1243,85469,11413737,38
319,2021/1/13,1103,78859,11490799,30
320,2021/1/14,1051,106752,11514050,29
321,2021/1/15,855,100917,11614967,26
322,2021/1/16,725,77390,11692357,31
323,2021/1/17,675,75287,11767644,29
324,2021/1/18,936,111457,11879101,29
325,2021/1/19,920,125187,12004288,39
326,2021/1/20,780,116676,12120964,29
327,2021/1/21,862,126727,12247691,27
328,2021/1/22,717,113151,12360842,24
329,2021/1/23,594,81783,12442625,26
330,2021/1/24,517,80054,12522679,20
331,2021/1/25,723,126985,12649664,25
332,2021/1/26,689,123901,12773565,20
333,2021/1/27,536,117643,12891208,17
334,2021/1/28,512,138737,13029945,19
335,2021/1/29,405,118174,13148119,19
336,2021/1/30,364,83169,13231288,19
337,2021/1/31,388,77543,13308831,16
338,2021/2/1,512,132831,13441662,13
339,2021/2/2,496,124098,13565760,10
340,2021/2/3,441,119960,13685720,17
341,2021/2/4,447,152871,13838591,14
342,2021/2/5,417,137098,13975689,11
343,2021/2/6,440,93839,14069528,7
344,2021/2/7,399,81941,14151469,8
345,2021/2/8,456,135674,14287143,13
346,2021/2/9,466,124716,14411859,16
347,2021/2/10,460,129919,14541778,12
348,2021/2/11,387,161826,14703604,9
349,2021/2/12,324,140622,14844226,7
350,2021/2/13,348,94893,14939119,9
351,2021/2/14,354,89691,15028810,5
352,2021/2/15,450,147584,15176394,7
353,2021/2/16,579,141293,15317687,3
354,2021/2/17,595,149920,15467607,6
355,2021/2/18,597,183474,15651081,9
356,2021/2/19,543,162594,15813675,4
357,2021/2/20,495,119015,15932690,5
358,2021/2/21,563,116923,16049613,5
359,2021/2/22,668,174015,16223628,0
360,2021/2/23,702,168660,16392288,2
361,2021/2/24,630,165168,16557456,7
362,2021/2/25,622,196517,16753973,1
363,2021/2/26,576,188997,16942970,5
364,2021/2/27,496,142500,17085470,4
365,2021/2/28,569,142190,17227660,3
366,2021/3/1,662,203605,17431265,1
367,2021/3/2,683,198191,17629456,4
368,2021/3/3,648,197101,17826557,3
369,2021/3/4,663,240470,18067027,2
370,2021/3/5,635,218472,18285499,0
371,2021/3/6,581,153450,18438949,2
372,2021/3/7,655,161441,18600390,2
373,2021/3/8,829,233698,18834088,0
374,2021/3/9,814,217484,19051572,2
375,2021/3/10,783,210575,19262147,3
376,2021/3/11,739,244827,19506974,3
377,2021/3/12,640,220723,19727697,2
378,2021/3/13,612,186872,19914569,1
379,2021/3/14,662,206894,20121463,2
380,2021/3/15,902,297784,20419247,2
